python,java,sql,ml,html_css,role
0,0,1,1,0,Data Scientist
1,0,1,1,0,Data Scientist
0,0,1,1,1,Data Scientist
1,0,1,1,0,Data Scientist
1,0,0,0,0,Data Analyst
1,1,0,0,0,Software Developer
1,0,1,1,1,Data Scientist
0,1,1,0,0,Software Developer
1,0,1,1,1,Data Scientist
0,0,0,0,0,Web Developer
0,0,0,0,1,Web Developer
0,0,0,0,0,Web Developer
1,1,1,1,0,ML Engineer
1,1,1,0,0,Data Analyst
0,0,0,0,0,Web Developer
1,0,0,0,1,Web Developer
1,0,1,0,1,Data Analyst
1,1,1,1,0,ML Engineer
1,1,1,0,0,Software Developer
0,0,1,1,1,Data Scientist
1,0,1,1,1,Data Scientist
1,0,0,1,0,Software Developer
0,1,0,0,0,Software Developer
1,1,1,1,0,Data Scientist
1,1,0,0,0,Software Developer
1,1,0,1,1,Web Developer
0,0,1,0,0,Data Analyst
1,1,0,0,0,Data Scientist
1,0,1,1,1,Data Scientist
0,1,1,0,1,Web Developer
1,0,1,1,0,ML Engineer
1,0,1,1,0,ML Engineer
0,1,1,0,1,Software Developer
0,0,0,0,0,Web Developer
1,0,1,1,0,Data Scientist
1,1,1,1,1,Data Analyst
1,0,1,0,0,Data Analyst
1,0,1,1,0,Data Scientist
0,0,1,1,0,Data Scientist
0,0,1,0,1,Web Developer
1,0,1,0,0,Data Analyst
1,0,0,1,0,Data Analyst
1,0,1,1,0,Data Scientist
0,0,0,0,0,Web Developer
1,0,1,0,1,Data Analyst
1,0,1,0,0,Data Analyst
1,0,1,0,0,ML Engineer
1,1,1,1,0,ML Engineer
0,0,0,1,0,ML Engineer
0,0,1,0,1,Web Developer
0,1,0,1,1,ML Engineer
1,0,1,1,0,ML Engineer
0,0,0,0,1,Web Developer
0,0,0,1,1,Software Developer
0,1,1,1,0,Data Scientist
0,0,0,0,1,Web Developer
0,1,0,1,1,Web Developer
1,0,0,1,0,Data Scientist
0,1,1,1,0,Data Scientist
1,0,1,1,1,ML Engineer
1,0,0,0,0,Data Analyst
0,0,1,1,0,Data Scientist
1,0,1,0,0,Data Analyst
1,1,0,1,1,Data Scientist
1,0,1,0,0,ML Engineer
0,1,0,0,0,Software Developer
1,1,1,0,0,Software Developer
0,0,0,0,1,Web Developer
1,0,1,0,0,Data Analyst
1,0,1,1,0,Data Scientist
1,1,0,0,0,Software Developer
1,0,0,0,1,Software Developer
1,0,0,0,0,Data Analyst
1,0,0,0,1,Web Developer
1,0,1,1,1,Data Analyst
1,1,1,1,0,Data Scientist
0,1,1,0,0,Data Analyst
0,0,1,0,0,Data Analyst
1,1,0,0,0,Software Developer
1,1,0,0,0,Software Developer
1,1,0,0,1,Web Developer
1,0,1,1,1,Data Scientist
1,0,1,1,0,ML Engineer
1,0,0,1,1,ML Engineer
1,0,1,1,0,ML Engineer
0,0,0,0,1,Web Developer
0,0,1,1,0,ML Engineer
1,0,1,0,0,Data Analyst
1,0,1,1,0,Data Scientist
1,0,0,1,0,Data Scientist
1,1,1,0,0,Data Analyst
1,0,1,1,0,ML Engineer
1,0,1,0,1,Data Analyst
1,0,1,0,0,Data Analyst
0,0,0,1,0,Web Developer
0,0,0,0,1,Web Developer
1,0,1,1,0,Data Scientist
0,0,1,0,1,Data Analyst
1,0,1,0,0,Data Scientist
1,1,1,1,1,Software Developer
0,0,0,0,1,Web Developer
1,0,1,1,0,Data Scientist
1,1,0,0,1,Web Developer
0,0,1,1,0,ML Engineer
0,0,0,0,1,Web Developer
1,0,1,0,0,Data Analyst
0,1,0,1,0,Software Developer
1,0,0,0,0,Software Developer
0,1,0,0,1,Web Developer
0,1,1,0,0,Data Analyst
1,1,1,0,0,Software Developer
0,1,0,0,1,Software Developer
1,0,0,1,0,Data Analyst
1,1,0,1,0,Data Scientist
1,1,0,0,1,Software Developer
0,1,0,0,0,Software Developer
1,1,0,0,1,Software Developer
1,1,0,0,0,Software Developer
1,0,1,0,0,ML Engineer
1,0,1,1,0,Data Analyst
